,ord
1266,barnpistol
1267,barnpornografi
1268,barnpornografilagen
1269,barnprogram
1270,barnprogrammet
1271,barns
1272,barnsben
1273,barnskratt
1274,barnskrik
1275,barnslig
1276,barnsliga
1277,barnslighet
1278,barnsligt
1279,barnunge
1280,barnvagn
1281,barnvåning
1282,barnvåningen
1283,barnängens
1284,barriärer
1285,bars
1286,barskrapade
1287,barskt
1288,bas
1289,basal
1290,basarer
1291,basen
1292,baser
1293,basera
1294,baserad
1295,baserade
1296,baserar
1297,baseras
1298,baserat
1299,basisk
1300,basketbollspelare
1301,baskurs
1302,basnivån
1303,bassning
1304,bassäng
1305,bastoner
1306,basunera
1307,basutbildningar
1308,basutbud
1309,basutbudet
1310,basvektorer
1311,batong
1312,batterierna
1313,baxade
1314,baxna
1315,be
1316,beakta
1317,beaktar
1318,beaktas
1319,bearbeta
1320,bearbetat
1321,bearbetning
1322,bebo
1323,bedjande
1324,bedjat
1325,bedragen
1326,bedragit
1327,bedriva
1328,bedrivas
1329,bedriven
1330,bedriver
1331,bedrivits
1332,bedrivs
1333,bedrägeri
1334,bedrägerier
1335,bedräglig
1336,bedöma
1337,bedömare
1338,bedömargrupper
1339,bedömdes
1340,bedömer
1341,bedömning
1342,bedömningar
1343,bedömningarna
1344,bedömningen
1345,bedöms
1346,bedövade
1347,bedövning
1348,bedövningen
1349,bedövningsmedel
1350,befallning
1351,befann
1352,befattningsbeskivningar
1353,befattningshavare
1354,befattningshavaren
1355,befinna
1356,befinner
1357,befintlig
1358,befintliga
1359,befintligt
1360,befogad
1361,befogat
1362,befogenhet
1363,befogenheter
1364,befolkningen
1365,befolkningens
1366,befolkningsknappheten
1367,befordrad
1368,befordran
1369,befria
1370,befriande
1371,befriar
1372,befrielse
1373,befrielsen
1374,befruktat
1375,befrämjades
1376,befunnit
1377,begagna
1378,begagnade
1379,begagnat
1380,begagnatmarknaden
1381,begav
1382,beger
1383,begett
1384,begick
1385,begoniorna
1386,begrava
1387,begravas
1388,begravd
1389,begravdes
1390,begravning
1391,begravs
1392,begravt
1393,begrep
1394,begrepp
1395,begreppen
1396,begreppet
1397,begripa
1398,begriper
1399,begripit
1400,begriplig
1401,begripligt
1402,begrundade
1403,begrundar
1404,begränsa
1405,begränsad
1406,begränsade
1407,begränsande
1408,begränsar
1409,begränsas
1410,begränsat
1411,begränsning
1412,begränsningar
1413,begynnelsen
1414,begynnelsepunkter
1415,begär
1416,begäran
1417,begärde
1418,begärt
1419,begå
1420,begår
1421,begått
1422,begåvad
1423,begåvning
1424,begåvningar
1425,behag
1426,behagligt
1427,behandla
1428,behandlad
1429,behandlade
1430,behandlar
1431,behandlas
1432,behandling
1433,behandlingarna
1434,behjälplig
1435,behjärtansvärt
1436,behov
1437,behoven
1438,behovet
1439,behovsstyrning
1440,behovsstyrt
1441,behärska
1442,behärskad
1443,behärskade
1444,behärskning
1445,behåll
1446,behålla
1447,behållare
1448,behållas
1449,behåller
1450,behållit
1451,behöll
1452,behörighetskrav
1453,behörighetskraven
1454,behörighetskravet
1455,behöva
1456,behövas
1457,behövde
1458,behövdes
1459,behöver
1460,behövs
1461,behövt
1462,behövts
1463,beiga
1464,bekant
1465,bekanta
1466,bekantskap
1467,bekantskapskrets
1468,beklaga
1469,beklagade
1470,beklagande
1471,beklagar
1472,beklagliga
1473,beklagligt
1474,beklädnadsteknisk
1475,bekräftande
1476,bekräftar
1477,bekräftat
1478,bekräftelse
1479,bekväm
1480,bekvämt
1481,bekymmer
1482,bekymmersamt
1483,bekymra
1484,bekymrade
1485,bekymrar
1486,bekände
1487,bekänna
1488,bekännelse
1489,bekännelser
1490,bekännelserna
1491,bekänner
1492,belasta
1493,belastande
1494,belastning
1495,belgare
1496,belopp
1497,beloppet
1498,belysa
1499,belysande
1500,belysas
1501,belyser
1502,belyses
1503,belysning
1504,belysningen
1505,belyst
1506,belysta
1507,belysts
1508,belägg
1509,belägna
1510,belägringen
1511,belåten
